assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
94947382,22727349,Scleroptila elgonensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Scleroptila,elgonensis,,,,"(Ogilvie-Grant, 1891)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94948018,22727395,Arborophila charltonii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Arborophila,charltonii,,,,"(Eyton, 1845)",Vulnerable,C2a(i),3.1,Decreasing,Global
94948310,22727411,Lophura erythrophthalma,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophura,erythrophthalma,,,,"(Raffles, 1822)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
94948620,22727425,Lophura pyronota,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophura,pyronota,,,,"(G. R. Gray, 1834)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
94948930,22727431,Lophura ignita,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophura,ignita,,,,"(Shaw, 1797)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94949227,22727445,Lophura rufa,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Lophura,rufa,,,,"(Raffles, 1822)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94949523,22727451,Hypotaenidia woodfordi,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Hypotaenidia,woodfordi,,,,"(Ogilvie-Grant, 1889)",Near Threatened,C2a(ii),3.1,Unknown,Global
94950108,22727465,Hypotaenidia immaculata,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Hypotaenidia,immaculata,,,,"(Mayr, 1949)",Near Threatened,C2a(ii),3.1,Unknown,Global
94950981,22727499,Coenocorypha aucklandica,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Coenocorypha,aucklandica,,,,"(Gray, 1845)",Near Threatened,B1ab(iii); D2,3.1,Increasing,Global
94951198,22727509,Coenocorypha huegeli,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Coenocorypha,huegeli,,,,"(Tristram, 1893)",Near Threatened,D1+2,3.1,Increasing,Global
94952116,22727539,Treron formosae,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Treron,formosae,,,,"Swinhoe, 1863",Near Threatened,C1,3.1,Decreasing,Global
94952579,22727557,Hemiphaga novaeseelandiae,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Hemiphaga,novaeseelandiae,,,,"(Gmelin, 1789)",Near Threatened,A2cde+3cde+4cde,3.1,Increasing,Global
94953803,22727599,Psittinus cyanurus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Psittinus,cyanurus,,,,"(Forster, 1795)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94954137,22727609,Psittinus abbotti,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Psittinus,abbotti,,,,"Richmond, 1902",Near Threatened,C2a(ii),3.1,Stable,Global
94954576,22727626,Amazona festiva,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Amazona,festiva,,,,"(Linnaeus, 1758)",Near Threatened,A4cd,3.1,Decreasing,Global
94954831,22727636,Amazona bodini,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Amazona,bodini,,,,"(Finsch, 1873)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94961899,22727778,Falco chicquera,ANIMALIA,CHORDATA,FALCONIFORMES,AVES,FALCONIDAE,Falco,chicquera,,,,"Daudin, 1800",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
94964334,22727878,Prioniturus mindorensis,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Prioniturus,mindorensis,,,,"Steere, 1890",Vulnerable,C2a(ii),3.1,Decreasing,Global
94964796,22727890,Coracopsis barklyi,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Coracopsis,barklyi,,,,Newton 1867,Vulnerable,D1,3.1,Stable,Global
94966220,22727941,Actenoides regalis,ANIMALIA,CHORDATA,CORACIIFORMES,AVES,ALCEDINIDAE,Actenoides,regalis,,,,"(Stresemann, 1932)",Vulnerable,C2a(ii),3.1,Decreasing,Global
94967701,22727999,Ramphastos ambiguus,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Ramphastos,ambiguus,,,,"Swainson, 1823",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94968444,22728020,Buteo oreophilus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Buteo,oreophilus,,,,"Hartert &amp; Neumann, 1914",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
94968761,22728031,Otidiphaps aruensis,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Otidiphaps,aruensis,,,,"Rothschild, 1928",Vulnerable,C2a(ii),3.1,Decreasing,Global
94971638,22728132,Pteroglossus bitorquatus,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Pteroglossus,bitorquatus,,,,"Vigors, 1826",Endangered,A4c,3.1,Decreasing,Global
94971889,22728139,Pteroglossus sturmii,ANIMALIA,CHORDATA,PICIFORMES,AVES,RAMPHASTIDAE,Pteroglossus,sturmii,,,,"Natterer, 1842",Near Threatened,A3c,3.1,Decreasing,Global
94972579,22728160,Coccyzus bahamensis,ANIMALIA,CHORDATA,CUCULIFORMES,AVES,CUCULIDAE,Coccyzus,bahamensis,,,,"(Bryant, 1864)",Near Threatened,C2a(i),3.1,Unknown,Global
94973134,22728176,Treron griveaudi,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Treron,griveaudi,,,,"(Benson, 1960)",Endangered,C2a(ii),3.1,Decreasing,Global
94974751,22728206,Rhea tarapacensis,ANIMALIA,CHORDATA,STRUTHIONIFORMES,AVES,RHEIDAE,Rhea,tarapacensis,,,,"(Chubb, 1913)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94976055,22728238,Rhizothera longirostris,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Rhizothera,longirostris,,,,"(Temminck, 1815)",Near Threatened,A2cd+3cd+4cd,3.1,Decreasing,Global
94976330,22728242,Rhizothera dulitensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Rhizothera,dulitensis,,,,"Ogilvie-Grant, 1895",Vulnerable,C2a(i),3.1,Decreasing,Global
94977488,22728282,Geotrygon purpurata,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Geotrygon,purpurata,,,,"(Salvin, 1878)",Endangered,C2a(i),3.1,Decreasing,Global
94978799,22728299,Chlorodrepanis flava,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FRINGILLIDAE,Chlorodrepanis,flava,,,,"(Bloxham, 1827)",Vulnerable,D2,3.1,Stable,Global
94979035,22728303,Anas chlorotis,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,chlorotis,,,,"Gray, 1845",Near Threatened,D1+2,3.1,Increasing,Global
94979400,22728310,Circus maillardi,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Circus,maillardi,,,,"Verreaux, 1862",Endangered,B1ab(iii);D,3.1,Decreasing,Global
